theme,f1,precision,recall,tp,fp,fn,tn,occurrences
Sicilian_Defense_Closed,0.03245749613601236,0.01653543307086614,0.875,21.0,1249.0,3.0,8727.0,24.0
Sicilian_Defense_Modern_Variations,0.031914893617021274,0.016282225237449117,0.8,12.0,725.0,3.0,9260.0,15.0
Vienna_Game_Stanley_Variation,0.029850746268656716,0.01694915254237288,0.125,1.0,58.0,7.0,9934.0,8.0
Slav_Defense_Other_variations,0.02955665024630542,0.015345268542199489,0.4,6.0,385.0,9.0,9600.0,15.0
Italian_Game_Anti-Fried_Liver_Defense,0.029239766081871347,0.015015015015015015,0.5555555555555556,5.0,328.0,4.0,9663.0,9.0
Scandinavian_Defense_Mieses-Kotroc_Variation,0.02888086642599278,0.0148975791433892,0.47058823529411764,8.0,529.0,9.0,9454.0,17.0
Ruy_Lopez_Exchange_Variation,0.02816901408450704,0.014336917562724014,0.8,4.0,275.0,1.0,9720.0,5.0
Sicilian_Defense_Najdorf_Variation,0.02793296089385475,0.014285714285714285,0.625,10.0,690.0,6.0,9294.0,16.0
Sicilian_Defense_Alapin_Variation,0.02746365105008077,0.013934426229508197,0.9444444444444444,17.0,1203.0,1.0,8779.0,18.0
Caro-Kann_Defense_Exchange_Variation,0.027397260273972605,0.01485148514851485,0.17647058823529413,3.0,199.0,14.0,9784.0,17.0
French_Defense_Normal_Variation,0.0273972602739726,0.016129032258064516,0.09090909090909091,1.0,61.0,10.0,9928.0,11.0
Petrovs_Defense,0.02631578947368421,0.014285714285714285,0.16666666666666666,1.0,69.0,5.0,9925.0,6.0
Philidor_Defense_Exchange_Variation,0.02631578947368421,0.014084507042253521,0.2,1.0,70.0,4.0,9925.0,5.0
French_Defense_Knight_Variation,0.025974025974025972,0.013605442176870748,0.2857142857142857,4.0,290.0,10.0,9696.0,14.0
Queens_Gambit_Declined_Harrwitz_Attack,0.025974025974025972,0.013605442176870748,0.2857142857142857,2.0,145.0,5.0,9848.0,7.0
Bird_Opening,0.025706940874035987,0.013368983957219251,0.3333333333333333,5.0,369.0,10.0,9616.0,15.0
Dutch_Defense,0.024193548387096777,0.012396694214876033,0.5,9.0,717.0,9.0,9265.0,18.0
Sicilian_Defense_Kan_Variation,0.024096385542168672,0.012307692307692308,0.5714285714285714,4.0,321.0,3.0,9672.0,7.0
Sicilian_Defense_Lowenthal_Variation,0.023529411764705882,0.012345679012345678,0.25,3.0,240.0,9.0,9748.0,12.0
Owen_Defense_Other_variations,0.023419203747072598,0.012254901960784314,0.2631578947368421,5.0,403.0,14.0,9578.0,19.0
Nimzo-Larsen_Attack_Classical_Variation,0.02325581395348837,0.01282051282051282,0.125,1.0,77.0,7.0,9915.0,8.0
Indian_Defense_Budapest_Defense,0.023076923076923078,0.011811023622047244,0.5,3.0,251.0,3.0,9743.0,6.0
Englund_Gambit,0.02293577981651376,0.01182033096926714,0.38461538461538464,5.0,418.0,8.0,9569.0,13.0
Sicilian_Defense_Bowdler_Attack,0.022857142857142857,0.011741682974559686,0.42857142857142855,6.0,505.0,8.0,9481.0,14.0
Russian_Game_Three_Knights_Game,0.022727272727272728,0.012048192771084338,0.2,1.0,82.0,4.0,9913.0,5.0
Queens_Gambit_Accepted,0.02252816020025031,0.011523687580025609,0.5,9.0,772.0,9.0,9210.0,18.0
Danish_Gambit_Other_variations,0.022304832713754646,0.011494252873563218,0.375,3.0,258.0,5.0,9734.0,8.0
Horwitz_Defense,0.02197802197802198,0.011272141706924315,0.4375,7.0,614.0,9.0,9370.0,16.0
Ruy_Lopez_Cozio_Defense,0.0218978102189781,0.011152416356877323,0.6,3.0,266.0,2.0,9729.0,5.0
Danish_Gambit,0.02173913043478261,0.011194029850746268,0.375,3.0,265.0,5.0,9727.0,8.0
Kings_Indian_Attack,0.021621621621621623,0.011428571428571429,0.2,2.0,173.0,8.0,9817.0,10.0
Horwitz_Defense_Other_variations,0.02157164869029276,0.011058451816745656,0.4375,7.0,626.0,9.0,9358.0,16.0
Sicilian_Defense_Taimanov_Variation,0.021374045801526718,0.010954616588419406,0.4375,7.0,632.0,9.0,9352.0,16.0
Vant_Kruijs_Opening_Other_variations,0.02127659574468085,0.011904761904761904,0.1,1.0,83.0,9.0,9907.0,10.0
