theme,f1,precision,recall,tp,fp,fn,tn,occurrences
pawnEndgame,1.0,1.0,1.0,22.0,0.0,0.0,978.0,22.0
endgame,0.9717741935483871,0.9450980392156862,1.0,482.0,28.0,0.0,490.0,482.0
middlegame,0.9641350210970465,0.9364754098360656,0.9934782608695653,457.0,31.0,3.0,509.0,460.0
rookEndgame,0.9285714285714286,0.8666666666666667,1.0,52.0,8.0,0.0,940.0,52.0
opening,0.8952380952380952,0.9215686274509803,0.8703703703703703,47.0,4.0,7.0,942.0,54.0
queenEndgame,0.8750000000000001,1.0,0.7777777777777778,7.0,0.0,2.0,991.0,9.0
short,0.6936642717178314,0.531,1.0,531.0,469.0,0.0,0.0,531.0
mate,0.6220204313280363,0.47079037800687284,0.9163879598662207,274.0,308.0,25.0,393.0,299.0
crushing,0.6018237082066868,0.4958263772954925,0.7654639175257731,297.0,302.0,91.0,310.0,388.0
advantage,0.5302593659942363,0.45544554455445546,0.6344827586206897,184.0,220.0,106.0,490.0,290.0
bishopEndgame,0.5,0.36666666666666664,0.7857142857142857,11.0,19.0,3.0,967.0,14.0
backRankMate,0.4333333333333333,0.4642857142857143,0.40625,13.0,15.0,19.0,953.0,32.0
mateIn2,0.42138364779874216,0.3544973544973545,0.5193798449612403,67.0,122.0,62.0,749.0,129.0
mateIn1,0.4049079754601227,0.358695652173913,0.4647887323943662,66.0,118.0,76.0,740.0,142.0
queenRookEndgame,0.4,0.5,0.3333333333333333,3.0,3.0,6.0,988.0,9.0
oneMove,0.38953488372093026,0.3435897435897436,0.44966442953020136,67.0,128.0,82.0,723.0,149.0
knightEndgame,0.35000000000000003,0.25,0.5833333333333334,7.0,21.0,5.0,967.0,12.0
zugzwang,0.3448275862068965,0.22727272727272727,0.7142857142857143,5.0,17.0,2.0,976.0,7.0
long,0.3157894736842105,0.29577464788732394,0.3387096774193548,84.0,200.0,164.0,552.0,248.0
advancedPawn,0.2857142857142857,0.2597402597402597,0.31746031746031744,20.0,57.0,43.0,880.0,63.0
defensiveMove,0.20634920634920634,0.19696969696969696,0.21666666666666667,13.0,53.0,47.0,887.0,60.0
kingsideAttack,0.1964285714285714,0.28205128205128205,0.1506849315068493,11.0,28.0,62.0,899.0,73.0
master,0.16494845360824742,0.38095238095238093,0.10526315789473684,16.0,26.0,136.0,822.0,152.0
fork,0.09356725146198831,0.2857142857142857,0.055944055944055944,8.0,20.0,135.0,837.0,143.0
veryLong,0.06896551724137931,0.13636363636363635,0.046153846153846156,3.0,19.0,62.0,916.0,65.0
attackingF2F7,0.0,0.0,0.0,0.0,0.0,8.0,992.0,8.0
attraction,0.0,0.0,0.0,0.0,0.0,28.0,972.0,28.0
clearance,0.0,0.0,0.0,0.0,0.0,12.0,988.0,12.0
deflection,0.0,0.0,0.0,0.0,0.0,37.0,963.0,37.0
discoveredAttack,0.0,0.0,0.0,0.0,0.0,43.0,957.0,43.0
doubleCheck,0.0,0.0,0.0,0.0,0.0,5.0,995.0,5.0
equality,0.0,0.0,0.0,0.0,0.0,16.0,984.0,16.0
exposedKing,0.0,0.0,0.0,0.0,0.0,40.0,960.0,40.0
hangingPiece,0.0,0.0,0.0,0.0,0.0,42.0,958.0,42.0
intermezzo,0.0,0.0,0.0,0.0,0.0,16.0,984.0,16.0
masterVsMaster,0.0,0.0,0.0,0.0,0.0,14.0,986.0,14.0
mateIn3,0.0,0.0,0.0,0.0,0.0,26.0,974.0,26.0
pin,0.0,0.0,0.0,0.0,0.0,55.0,945.0,55.0
promotion,0.0,0.0,0.0,0.0,0.0,20.0,980.0,20.0
queensideAttack,0.0,0.0,0.0,0.0,0.0,17.0,983.0,17.0
quietMove,0.0,0.0,0.0,0.0,0.0,38.0,962.0,38.0
sacrifice,0.0,0.0,0.0,0.0,0.0,71.0,929.0,71.0
skewer,0.0,0.0,0.0,0.0,0.0,27.0,973.0,27.0
trappedPiece,0.0,0.0,0.0,0.0,0.0,11.0,989.0,11.0
