theme,f1,precision,recall,tp,fp,fn,tn,occurrences
pawnEndgame,0.9886547811993517,0.9838709677419355,0.993485342019544,305.0,5.0,2.0,9688.0,307.0
endgame,0.9611562782294488,0.9264705882352942,0.9985401459854014,4788.0,380.0,7.0,4825.0,4795.0
middlegame,0.9559086604230242,0.9316923076923077,0.9814174589455489,4542.0,333.0,86.0,5039.0,4628.0
queenEndgame,0.95,0.9421487603305785,0.957983193277311,114.0,7.0,5.0,9874.0,119.0
rookEndgame,0.922279792746114,0.8782894736842105,0.9709090909090909,534.0,74.0,16.0,9376.0,550.0
opening,0.8600556070435588,0.8821292775665399,0.8390596745027125,464.0,62.0,89.0,9385.0,553.0
short,0.6874056572816172,0.5237,1.0,5237.0,4763.0,0.0,0.0,5237.0
crushing,0.627182681507199,0.5277539096064616,0.7727730246602919,3071.0,2748.0,903.0,3278.0,3974.0
bishopEndgame,0.6166666666666667,0.47639484978540775,0.8740157480314961,111.0,122.0,16.0,9751.0,127.0
queenRookEndgame,0.6081081081081081,0.6923076923076923,0.5421686746987951,45.0,20.0,38.0,9897.0,83.0
mate,0.5845750387412088,0.4448476052249637,0.8522766770941953,2452.0,3060.0,425.0,4063.0,2877.0
advantage,0.5244444444444445,0.45520159283225486,0.6185322962461954,1829.0,2189.0,1128.0,4854.0,2957.0
backRankMate,0.42601626016260163,0.4729241877256318,0.3875739644970414,131.0,146.0,207.0,9516.0,338.0
mateIn2,0.36657681940700804,0.32075471698113206,0.4276729559748428,544.0,1152.0,728.0,7576.0,1272.0
mateIn1,0.34208606856309265,0.3135026737967914,0.37640449438202245,469.0,1027.0,777.0,7727.0,1246.0
oneMove,0.3416809605488851,0.31538948701709946,0.3727544910179641,498.0,1081.0,838.0,7583.0,1336.0
zugzwang,0.3238636363636364,0.22007722007722008,0.6129032258064516,57.0,202.0,36.0,9705.0,93.0
advancedPawn,0.3056179775280899,0.2833333333333333,0.33170731707317075,204.0,516.0,411.0,8869.0,615.0
long,0.3005035246727089,0.30226904376012964,0.2987585102122547,746.0,1722.0,1751.0,5781.0,2497.0
knightEndgame,0.24836601307189543,0.17040358744394618,0.4578313253012048,38.0,185.0,45.0,9732.0,83.0
defensiveMove,0.21399176954732507,0.21702838063439064,0.21103896103896103,130.0,469.0,486.0,8915.0,616.0
veryLong,0.16608391608391607,0.3064516129032258,0.11390887290167866,95.0,215.0,739.0,8951.0,834.0
kingsideAttack,0.1510464058234759,0.32421875,0.09845788849347568,83.0,173.0,760.0,8984.0,843.0
fork,0.08466966003848621,0.35294117647058826,0.048104956268221574,66.0,121.0,1306.0,8507.0,1372.0
master,0.08043875685557587,0.27049180327868855,0.047244094488188976,66.0,178.0,1331.0,8425.0,1397.0
anastasiaMate,0.0,0.0,0.0,0.0,0.0,9.0,9991.0,9.0
arabianMate,0.0,0.0,0.0,0.0,0.0,14.0,9986.0,14.0
attackingF2F7,0.0,0.0,0.0,0.0,0.0,69.0,9931.0,69.0
attraction,0.0,0.0,0.0,0.0,0.0,347.0,9653.0,347.0
bodenMate,0.0,0.0,0.0,0.0,0.0,7.0,9993.0,7.0
capturingDefender,0.0,0.0,0.0,0.0,0.0,69.0,9931.0,69.0
castling,0.0,0.0,0.0,0.0,0.0,8.0,9992.0,8.0
clearance,0.0,0.0,0.0,0.0,0.0,157.0,9843.0,157.0
deflection,0.0,0.0,0.0,0.0,0.0,416.0,9584.0,416.0
discoveredAttack,0.0,0.0,0.0,0.0,0.0,535.0,9465.0,535.0
doubleCheck,0.0,0.0,0.0,0.0,0.0,53.0,9947.0,53.0
dovetailMate,0.0,0.0,0.0,0.0,0.0,7.0,9993.0,7.0
enPassant,0.0,0.0,0.0,0.0,0.0,19.0,9981.0,19.0
equality,0.0,0.0,0.0,0.0,0.0,96.0,9904.0,96.0
exposedKing,0.0,0.0,0.0,0.0,0.0,303.0,9697.0,303.0
hangingPiece,0.0,0.0,0.0,0.0,0.0,440.0,9560.0,440.0
hookMate,0.0,0.0,0.0,0.0,0.0,21.0,9979.0,21.0
interference,0.0,0.0,0.0,0.0,0.0,45.0,9955.0,45.0
intermezzo,0.0,0.0,0.0,0.0,0.0,125.0,9875.0,125.0
killBoxMate,0.0,0.0,0.0,0.0,0.0,9.0,9991.0,9.0
masterVsMaster,0.0,0.0,0.0,0.0,0.0,140.0,9860.0,140.0
mateIn3,0.0,0.0,0.0,0.0,0.0,313.0,9687.0,313.0
mateIn4,0.0,0.0,0.0,0.0,0.0,41.0,9959.0,41.0
mateIn5,0.0,0.0,0.0,0.0,0.0,5.0,9995.0,5.0
pin,0.0,0.0,0.0,0.0,0.0,609.0,9391.0,609.0
promotion,0.0,0.0,0.0,0.0,0.0,245.0,9755.0,245.0
queensideAttack,0.0,0.0,0.0,0.0,0.0,158.0,9842.0,158.0
quietMove,0.0,0.0,0.0,0.0,0.0,424.0,9576.0,424.0
sacrifice,0.0,0.0,0.0,0.0,0.0,771.0,9229.0,771.0
skewer,0.0,0.0,0.0,0.0,0.0,229.0,9771.0,229.0
smotheredMate,0.0,0.0,0.0,0.0,0.0,42.0,9958.0,42.0
superGM,0.0,0.0,0.0,0.0,0.0,6.0,9994.0,6.0
trappedPiece,0.0,0.0,0.0,0.0,0.0,125.0,9875.0,125.0
xRayAttack,0.0,0.0,0.0,0.0,0.0,24.0,9976.0,24.0
